DEPTH,BS,BVW,CALIPER,DTCO,DTSM,GR,NPHI,PEF,RHOB,RT,PHIT,PHIE,KTIMUR,VCL,SW,VFeldes,VLIME,VPlagioclasa,VPirita,VSAND,VTOBA,Vp,Vs,Ip,Is,Poisson,K,MU,LAMBDA,Facies,PetroClasses,VSh_AAA,eF_AAA
3035,12.25,0.1345,12.1097,109.3021,248.1994,102.3463,0.4019,2.8872,2.0679,1.4741,0.2816,0.234,43.8791,0.1705,1,0.4005,0.05,0.0903,0,0.0673,0,2788.6014998797,1228.0448703744,5766.5490416012,2539.4739874472,0.3797028483,11.9224899682,3.1185880037,9.8434312991,5,5,1,5
3035.1,12.25,0.1285,12.092,109.0753,244.3712,100.4269,0.3873,3.1231,2.1224,1.5844,0.2664,0.2123,25.8119,0.1937,1,0.3767,0.0588,0.095,0,0.0742,0,2794.3998320426,1247.2828221984,5930.8342035273,2647.2330618338,0.37560168,12.1706576697,3.3018483244,9.9694254534,5,2,1,5
3035.2,12.25,0.124,12.0757,108.8486,239.7693,95.8923,0.3704,3.3998,2.174,1.6594,0.2516,0.1933,15.2032,0.2091,1,0.3357,0.0734,0.0964,0,0.1051,0,2800.2197547787,1271.2219621111,6087.6777468888,2763.6365456295,0.370205079,12.3625748581,3.5131954721,10.0204445434,5,2,1,5
3035.3,12.25,0.1212,12.0283,108.6218,233.4837,89.0713,0.3585,3.6563,2.2064,1.7002,0.2424,0.1818,10.7538,0.2169,1,0.2878,0.0875,0.1023,0,0.1412,0,2806.0665538594,1305.4444485846,6191.3052444353,2880.3326313571,0.3618935381,12.3597289129,3.7601142437,9.8529860838,5,2,0.797730549,5
3035.4,12.25,0.12,11.9883,108.395,226.7983,81.1946,0.3537,3.8431,2.2124,1.7167,0.24,0.1801,10.3306,0.2145,1,0.2445,0.0984,0.1125,0,0.1694,0,2811.9378200102,1343.9254174304,6221.1312329905,2973.300593523,0.3519769434,12.1655752089,3.9958942413,9.5016457147,4,4,0.589771617,5
3035.5,12.25,0.1202,12.0002,108.1683,220.2207,72.5836,0.3526,3.9023,2.1967,1.732,0.2391,0.1829,11.3697,0.2011,0.8989,0.2087,0.1019,0.1273,0,0.2,0,2817.8311020881,1384.0660755324,6189.929581957,3040.3779481221,0.3410135,11.8313974627,4.2080839748,9.0260081462,5,4,0.418172588,5
3035.6,12.25,0.1201,11.9972,107.9415,215.3119,65.0879,0.3539,3.8493,2.1752,1.808,0.2432,0.1911,15.0435,0.187,0.7046,0.1843,0.0976,0.1468,0,0.2219,0,2823.7517544225,1415.6207808301,6142.2248162199,3079.2583224615,0.3321508178,11.5320353398,4.3590620708,8.6259939592,4,4,0.304855603,5
3035.7,12.25,0.1174,11.9795,107.7147,212.0611,58.6727,0.3559,3.7213,2.1619,2.0255,0.2462,0.1961,18.6043,0.1794,0.6302,0.1644,0.0881,0.1613,0,0.243,0,2829.6973393604,1437.3216021232,6117.5226779632,3107.3455716301,0.3261411141,11.3557310915,4.4662549154,8.3782278146,4,4,0.228457744,4
3035.8,12.25,0.1097,11.9795,107.488,209.9919,55.3062,0.3627,3.5773,2.1605,2.3746,0.2482,0.1955,20.9251,0.1886,0.5636,0.1434,0.0757,0.1706,0,0.2632,0,2835.6653766002,1451.4845572615,6126.4550461447,3135.9323859635,0.3224856999,11.3035665479,4.5517574308,8.269061594,3,4,0.194590034,4
3035.9,12.25,0.0998,11.9809,107.2612,209.6424,53.6059,0.3688,3.485,2.1694,2.66,0.2481,0.1911,21.8176,0.2045,0.5131,0.1297,0.0671,0.1706,0,0.272,0,2841.6612903827,1453.9043628579,6164.7000033563,3154.1001247839,0.3227003335,11.4036427899,4.5857599323,8.3464695017,3,4,0.178910574,3
3036,12.25,0.0928,11.9839,108.6753,209.9948,52.9929,0.3756,3.4537,2.1856,2.7199,0.247,0.1835,19.4872,0.2275,0.4874,0.1236,0.0643,0.166,0,0.2689,0,2804.6851492474,1451.4645124546,6129.919862195,3172.3208384208,0.3171068899,11.0531470448,4.6045111191,7.9834729654,3,4,0.173477626,3
3036.1,12.25,0.0916,11.9824,110.4748,210.882,53.24,0.3723,3.4924,2.2055,2.6495,0.2427,0.1763,15.4498,0.2383,0.5116,0.1247,0.0668,0.1635,0,0.2643,0,2759.0002425893,1445.3580675449,6084.9750350306,3187.7372179702,0.3108771073,10.6452186575,4.6074217052,7.5736041874,3,4,0.175653953,3
3036.2,12.25,0.0925,11.9943,112.5442,212.2168,53.7424,0.3704,3.5762,2.2295,2.5568,0.2383,0.1673,10.8452,0.2545,0.5572,0.1258,0.0736,0.1535,0,0.2522,0,2708.2692844234,1436.2670627396,6038.0863696219,3202.157416378,0.3043514723,10.2205595491,4.5991532269,7.1544573978,3,3,0.18013594,3
3036.3,12.25,0.0938,11.9957,114.5309,213.4585,54.4401,0.366,3.6629,2.2573,2.3899,0.2327,0.1574,7.1355,0.2699,0.655,0.1262,0.0803,0.1425,0,0.2445,0,2661.290533821,1427.9122171289,6007.3311219942,3223.226247725,0.2978666053,9.8506079316,4.6024841377,6.7822851731,3,3,0.186489334,3
3036.4,12.25,0.0958,11.9913,116.4225,214.6147,55.3077,0.3685,3.7486,2.2858,2.139,0.2291,0.1465,4.3209,0.296,0.7115,0.1199,0.0866,0.1307,0,0.2466,0,2618.0506345423,1420.219584213,5984.3401404368,3246.3379255941,0.2915076831,9.5199552368,4.6105126989,6.4462801042,3,3,0.194604273,4
3036.5,12.25,0.0998,12.0165,117.4347,215.3447,56.1397,0.3674,3.7966,2.3173,1.9288,0.2243,0.1353,2.3901,0.3192,0.7999,0.1152,0.0889,0.1199,0,0.255,0,2595.4849801635,1415.4051620495,6014.5173445328,3279.9183820173,0.2883689412,9.4207048853,4.642413409,6.3257626127,3,3,0.202615665,4
3036.6,12.25,0.106,12.0623,118.0846,215.9427,56.9369,0.3657,3.7675,2.3106,1.8549,0.2248,0.1379,2.4006,0.3113,0.8558,0.1214,0.0872,0.1203,0,0.2551,0,2581.20025812,1411.4855468604,5964.1213164121,3261.3785045755,0.2867064181,9.2567399853,4.603388622,6.1878142373,4,4,0.210508776,4
3036.7,12.25,0.1102,12.1438,118.3835,216.4003,57.2986,0.3602,3.7127,2.291,1.8737,0.2261,0.1458,3.1697,0.2876,0.8587,0.1325,0.0828,0.1273,0,0.256,0,2574.6831272939,1408.5008200081,5898.5990446304,3226.8753786386,0.2864559863,9.1269479457,4.5450566169,6.0969102011,4,4,0.214161561,4
3036.8,12.25,0.1117,12.1689,118.0651,216.9867,57.2843,0.3545,3.6538,2.2669,1.8841,0.2281,0.1555,4.6659,0.26,0.8253,0.1425,0.079,0.1355,0,0.2532,0,2581.6265772019,1404.6943891031,5852.289287859,3184.3017106579,0.2897141766,9.1444645681,4.4729707462,6.1624840707,4,4,0.214016287,4
3036.9,12.25,0.1126,12.1719,117.5128,217.7401,56.8688,0.3509,3.6237,2.2498,1.8293,0.2297,0.1625,6.0801,0.2409,0.7902,0.1462,0.0773,0.1414,0,0.2551,0,2593.7599989108,1399.8340223046,5835.4412455494,3149.3465833808,0.2945142174,9.2576507514,4.4085624954,6.3186090878,4,4,0.209826078,4
3037,12.25,0.1148,12.1171,116.6976,218.7027,55.7073,0.351,3.6237,2.2385,1.7338,0.2315,0.1668,6.9018,0.232,0.7107,0.139,0.077,0.1466,0,0.2707,0,2611.8789075354,1393.6727804458,5846.6909345179,3119.7365190279,0.3009745931,9.4736595724,4.3478918687,6.5750649933,3,4,0.198423611,4
3037.1,12.25,0.1177,12.0283,115.4516,219.931,54.6462,0.357,3.6539,2.2329,1.6473,0.2341,0.1682,6.916,0.2363,0.6798,0.1258,0.0797,0.1458,0,0.2794,0,2640.0673528994,1385.889210707,5895.0063922891,3094.5520185877,0.3098051648,9.8449389154,4.2887062545,6.9858014124,3,4,0.188395307,3
3037.2,12.25,0.1196,11.9972,114.2701,221.3295,53.7556,0.3674,3.7124,2.2357,1.5631,0.2365,0.1657,6.0839,0.2538,0.6558,0.1137,0.0848,0.1412,0,0.285,0,2667.3644286651,1377.1322846706,5963.4266531665,3078.8546488381,0.3182857527,10.2533119453,4.2399901367,7.4266518542,3,4,0.18025474,3
3037.3,12.25,0.1211,12.0031,113.223,222.9559,53.9896,0.3804,3.7588,2.2423,1.4632,0.2387,0.1612,4.9802,0.278,0.6428,0.1035,0.0896,0.1345,0,0.2887,0,2692.0325375586,1367.0864955805,6036.3445589677,3065.4180490402,0.3262471201,10.6624471365,4.1906916182,7.8686527244,3,3,0.182369673,3
3037.4,12.25,0.1229,12.0031,112.8981,225.1658,54.6577,0.3932,3.772,2.2541,1.3594,0.2401,0.1547,3.7239,0.3062,0.6446,0.1008,0.0919,0.1293,0,0.2877,0,2699.7797128561,1353.6691629013,6085.573450749,3051.3056600958,0.3320849405,10.9224299052,4.1304583787,8.1687909861,3,3,0.188502053,3
3037.5,12.25,0.1248,12.0002,112.8847,227.7954,55.8395,0.4066,3.7497,2.2665,1.24,0.2415,0.1479,2.705,0.3356,0.6648,0.0969,0.1415,0,0,0.3748,0,2700.1001907256,1338.0428226382,6119.7770822795,3032.6740575095,0.3372455266,11.1135475923,4.0578477561,8.408315755,3,3,0.199698699,4
3037.6,12.25,0.1286,12.0179,113.2564,231.0612,56.7273,0.4176,3.713,2.2723,1.0918,0.2433,0.144,2.1428,0.3562,0.7176,0.0976,0.1375,0.0033,0,0.358,0,2691.2386408185,1319.131035414,6115.301563532,2997.4614517712,0.3418849166,11.1856766301,3.9540444285,8.5496470111,4,3,0.208412624,4
3037.7,12.25,0.1355,12.0327,114.2349,234.801,57.1992,0.4278,3.6874,2.2719,0.9752,0.2457,0.1423,1.7889,0.3708,0.7942,0.1024,0.096,0.1,0,0.251,0,2668.1863423525,1298.1205361136,6061.8525511906,2949.2000459964,0.3449498093,11.0695959934,3.8284171448,8.5173178968,4,3,0.213153221,4
3037.8,12.25,0.1451,12.0194,115.3473,238.7769,56.9532,0.4225,3.6945,2.2669,0.9432,0.2452,0.1451,1.7715,0.3588,0.9641,0.1082,0.0968,0.1011,0,0.2331,0,2642.4545698079,1276.5053905968,5990.1802642975,2893.710069944,0.3478016505,10.9036638759,3.6938365031,8.4411062072,4,3,0.210672418,4
3037.9,12.25,0.1496,12.0135,116.4991,243.066,57.0014,0.4116,3.7304,2.2599,0.9608,0.2436,0.1496,2.0258,0.3372,1,0.1176,0.0985,0.1053,0,0.2188,0,2616.329224861,1253.9804003851,5912.6424152633,2833.8703068303,0.3508863263,10.7312620512,3.553617822,8.3621835032,4,4,0.211156852,4
3038,12.25,0.1524,12.0076,117.404,247.6011,57.0467,0.3977,3.7599,2.2512,0.9887,0.2416,0.1552,2.4724,0.3098,1,0.1255,0.099,0.1072,0,0.2175,0,2596.1636741508,1231.0123016416,5844.4836632483,2771.2548934557,0.3549774463,10.6246376943,3.4114488648,8.350338451,4,4,0.211612867,4
3038.1,12.25,0.1527,12.0031,118.161,252.1069,56.9238,0.3902,3.7639,2.2378,1.0302,0.2419,0.1615,3.1787,0.2881,1,0.1297,0.0984,0.1132,0,0.2217,0,2579.5313174398,1209.0109394071,5772.4751821667,2705.5246802051,0.3592420827,10.5289352646,3.2710089352,8.3482626411,4,4,0.210377326,4
3038.2,12.25,0.1521,12.0031,118.6911,256.2918,55.9559,0.3809,3.7442,2.2229,1.0872,0.2419,0.1687,4.223,0.2625,0.8723,0.1294,0.0953,0.1216,0,0.2433,0,2568.0105753506,1189.2694186861,5708.4307079469,2643.6269907972,0.3634869382,10.4673307806,3.1439847346,8.3713409575,3,4,0.200826175,4
3038.3,12.25,0.1504,12.0017,118.7107,259.3185,54.2688,0.3678,3.7265,2.2144,1.1468,0.24,0.174,5.2765,0.2364,0.8036,0.1223,0.0907,0.1329,0,0.2759,0,2567.5865781265,1175.3885665697,5685.6637186033,2602.7804418119,0.3674392429,10.5193960215,3.0592783726,8.4798771064,3,4,0.184915375,3
3038.4,12.25,0.1475,12.0046,118.4581,261.4082,51.1434,0.3563,3.7381,2.2207,1.2161,0.2359,0.1732,5.3251,0.2247,0.7501,0.1066,0.087,0.1442,0,0.3079,0,2573.0616986091,1165.9924975575,5713.9981141011,2589.3195393259,0.3707935188,10.6769668178,3.0191271566,8.6642153801,3,4,0.157759208,3
3038.5,12.25,0.1431,12.0031,117.8632,261.5023,48.5228,0.345,3.784,2.2443,1.3792,0.2289,0.1656,4.2393,0.227,0.7294,0.0898,0.0857,0.1505,0,0.3395,0,2586.0489109408,1165.5729223032,5803.8695708245,2615.895309525,0.372533532,10.9437349291,3.0490167404,8.9110571021,2,4,0.137122717,2
3038.6,12.25,0.1336,12.0031,116.6761,260.3975,46.6599,0.3326,3.8361,2.2755,1.7615,0.2204,0.1551,3.1977,0.2342,0.7067,0.079,0.145,0,0,0.4657,0,2612.3602005895,1170.5181501359,5944.4256364414,2663.5140506341,0.3744009814,11.3720588955,3.1176915394,9.2935978692,2,4,0.123537676,2
3038.7,12.25,0.1181,12.0179,115.2066,258.5253,47.1018,0.3181,3.8603,2.2959,2.2104,0.2127,0.1487,3.1318,0.2294,0.6637,0.082,0.1448,0,0,0.4771,0,2645.681757816,1178.9948604643,6074.2207477697,2706.8543001401,0.376102742,11.8152986148,3.1913673079,9.6877204095,2,3,0.126682342,2
3038.8,12.25,0.1057,12.0135,113.6228,255.6041,48.9212,0.3131,3.8535,2.2882,2.2918,0.2124,0.1522,4.5309,0.2159,0.6108,0.096,0.0804,0.1675,0,0.352,0,2682.5601903843,1192.4691348848,6138.2342276374,2728.6078744433,0.3768664227,12.1278085497,3.2537806715,9.9586214354,2,3,0.140142055,2
3038.9,12.25,0.1044,12.0387,112.3384,252.0696,51.3535,0.3172,3.8639,2.2565,1.9236,0.2188,0.1639,7.4692,0.1968,0.5979,0.1179,0.0866,0.1628,0,0.323,0,2713.2307385542,1209.1898428053,6122.4051615476,2728.5368802902,0.3760789225,12.2124057697,3.2993190814,10.0128597155,3,3,0.159495153,3
