DEPTH,BS,BVW,CALIPER,DTCO,DTSM,GR,NPHI,RHOB,RT16_Rxo,RTD90_Rt,RTM30,RTM60,RTS20,HCGR,PHIT,PHIE,KTIMUR,VCL,SW,SW_PEMEX,TEMP,GAS_TOTAL,VALBITE,VLIME5,VORTHO,VPYRITE,VSAND,Facies,VSh_AAA,eF_AAA,Vp,Vs,VpVsratio,Ip,Is,Poisson,K,MU,LAMBDA,K_menos_MU,K_RHO,MU_RHO,LAMBDA_RHO,K_RHO_MU_RHO
3038.35,12.25,0.25,12.9487,122.3255,251.1141,93.7307,0.385,2.1209,0.8296,0.7299,0.7675,0.7476,0.8101,90.6102,0.3124,0.25,19.7426,0.2498,0.9034,1,45.5025,285,0.0303,0,0.207,0,0.263,3,0.949854008,5,2491.712685,1213.790862,2.052835263,5284.673433,2574.32904,0.344437035,9.001625072,3.124697066,6.918493695,5.876928007,19.09154662,6.627170007,14.67343328,12.46437661
3038.5,12.25,0.2077,13.0951,119.2466,249.0966,84.9851,0.357,2.2237,0.9501,0.8729,0.9056,0.8863,0.9493,80.8695,0.2774,0.2077,8.1812,0.2789,0.9704,1,45.5081,285,0,0.003,0.1856,0,0.3249,3,0.68287813,5,2556.04772,1223.621679,2.088919936,5683.883314,2720.967528,0.351349148,10.08903051,3.329434856,7.869407271,6.759595652,22.43497714,7.40366429,17.49920095,15.03131285
3038.65,12.25,0.1672,13.3651,116.9803,247.1795,80.9016,0.3456,2.2832,1.0653,1.0008,1.0298,1.0157,1.0814,70.0331,0.2417,0.1672,2.4136,0.298,1,1,45.5136,285,0.0016,0.0189,0.1532,0,0.3611,2,0.583064631,5,2605.56692,1233.111969,2.113001078,5949.030392,2815.441248,0.355690425,10.87159106,3.471754302,8.557088194,7.39983676,24.82201671,7.926709422,19.53754376,16.89530729
3038.8,12.25,0.1525,13.4779,115.6527,243.0011,81.0902,0.3458,2.3082,1.1508,1.093,1.1055,1.0998,1.1527,59.584,0.2333,0.1525,1.18,0.3234,0.9958,1,45.5191,285,0,0.0354,0.1153,0.0001,0.3734,2,0.587374114,5,2635.476733,1254.31531,2.101127773,6083.207396,2895.210598,0.353575878,11.19014225,3.631506978,8.769137601,7.558635275,25.82908635,8.382244406,20.24092341,17.44684194
3038.95,12.25,0.1371,13.4419,115.5523,243.5378,81.8423,0.3497,2.3144,1.1831,1.1195,1.1124,1.1136,1.1582,56.9684,0.2243,0.1371,0.6558,0.3488,0.9991,1,45.5246,287.8959,0.009,0.0522,0.0997,0.0001,0.353,2,0.604838582,5,2637.766622,1251.551094,2.107598031,6104.847069,2896.589852,0.35473433,11.26952157,3.625230198,8.852701435,7.644291369,26.08218071,8.390232769,20.4886922,17.69194794
3039.1,12.25,0.1246,13.2928,115.5012,247.0775,80.1055,0.3488,2.3066,1.158,1.1186,1.1063,1.1065,1.1507,54.9242,0.2093,0.1246,0.4078,0.3391,0.9813,1,45.5301,298,0.0371,0.092,0.1045,0.0001,0.3025,3,0.565177036,5,2638.933621,1233.62103,2.139176909,6086.964291,2845.470267,0.360182015,11.38278544,3.510231962,9.042630798,7.872553477,26.25553289,8.096701043,20.8577322,18.15883185
3039.25,12.25,0.1141,13.075,115.424,250.0503,77.6421,0.3384,2.2885,1.0978,1.0941,1.0765,1.075,1.1184,51.9089,0.1928,0.1141,0.352,0.3148,0.9552,1,45.5357,298,0.0752,0.1424,0.109,0.0001,0.2445,4,0.512813237,5,2640.698642,1218.954746,2.166363148,6043.238841,2789.577937,0.364613459,11.42454691,3.400369266,9.157634065,8.024177643,26.1450756,7.781745066,20.95724556,18.36333054
3039.4,12.25,0.1114,12.846,115.2859,251.1674,76.051,0.3222,2.2743,1.0151,1.0132,1.0058,1.001,1.0524,52.8533,0.1819,0.1114,0.2967,0.2821,0.9729,1,45.5412,298,0.1005,0.1697,0.1202,0,0.2161,3,0.481262279,4,2643.861912,1213.533285,2.178648039,6012.935146,2759.93875,0.366542365,11.43166683,3.349277538,9.198815138,8.082389292,25.99903987,7.617261904,20.92086527,18.38177797
3039.55,12.25,0.112,12.7051,115.8902,252.9645,75.6094,0.3089,2.2782,0.9285,0.926,0.9181,0.9142,0.957,55.8109,0.1774,0.112,0.2258,0.2616,1,1,45.5467,298,0.1021,0.1661,0.1305,0,0.2278,3,0.472805576,4,2630.07571,1204.912152,2.182794576,5991.838482,2745.030864,0.367183488,11.34896079,3.307521045,9.143946757,8.041439742,25.85520246,7.535194444,20.8317395,18.32000802
3039.7,12.25,0.113,12.632,116.344,253.8797,76.4454,0.3087,2.2932,0.8685,0.8291,0.8273,0.8235,0.8633,56.301,0.1736,0.113,0.2107,0.2424,1,1,45.5522,298,0.0944,0.1498,0.1309,0,0.2695,2,0.488923813,4,2619.817094,1200.568616,2.182146909,6007.76456,2753.14395,0.367083674,11.33212666,3.305338221,9.128567851,8.026788444,25.98683287,7.579801608,20.9336318,18.40703126
