twt,a,b,c,D,e,f,g
3128,6232.890137,6182.97168,6112.168457,6061.975098,6083.412109,6082.89209,6089.16748
3132,6141.39209,6079.689941,6061.680664,6061.975098,6083.412109,6082.89209,6089.16748
3136,6102.222168,6070.911133,6061.680664,6084.001465,6115.818848,6121.830566,6125.413574
3140,6102.222168,6070.911133,6101.584473,6130.944336,6137.535645,6110.910156,6117.158203
3144,6125.745117,6143.618164,6138.755371,6129.947754,6123.159668,6108.382324,6108.084473
3148,6161.034668,6143.618164,6123.868652,6094.814941,6076.947266,6065.575684,6082.038086
3152,6122.637207,6100.945801,6081.495606,6077.433594,6076.947266,6062.915039,6083.29834
3156,6099.998535,6049.015625,6048.033203,6084.319336,6104.289551,6060.791992,6053.465332
3160,6036.359375,6016.98584,6056.055176,6070.650391,6073.091309,6060.791992,6001.996094
3164,6036.359375,6043.707031,6034.924316,6030.609863,6015.875977,5950.409668,5976.677246
3168,6061.845703,6032.714844,5991.895508,5944.28418,5928.765137,5937.722656,5949.327148
3172,6013.62207,5966.058594,5937.849121,5919.722168,5928.611816,5924.494629,5935.489746
3176,5937.808594,5912.588379,5914.949219,5920.938477,5935.96875,5940.551758,5941.115234
3180,5929.960449,5912.588379,5908.585938,5940.73291,5961.708496,5943.640137,5938.608398
3184,5966.490723,5952.710449,5940.050293,5930.303223,5946.344238,5943.640137,5936.094727
3188,5978.027832,5959.119141,5940.312988,5930.303223,5935.558106,5929.414551,5936.094727
3192,5985.188477,5959.119141,5934.107422,5928.574707,5935.879883,5938.907715,5940.354492
3196,5981.39209,5952.601563,5936.050293,5940.136719,5940.273926,5955.162598,5958.188477
3200,5982.324219,5952.601563,5939.874512,5972.305664,5980.190918,5969.081055,5984.605469
3204,6026.268066,6070.418457,6063.026367,5982.414551,5990.958496,6019.67041,5997.291992
3208,6080.670898,6095.913574,6075.544922,6088.345215,6057.766113,6032.697266,6030.323242
3212,6080.670898,6091.713379,6099.264648,6106.199219,6109.928223,6108.564453,6095.6875
3216,6080.670898,6091.713379,6101.99707,6106.199219,6125.865234,6135.906738,6118.01709
3220,6125.953125,6192.703125,6172.803223,6168.95166,6149.72168,6151.971191,6150.658203
3224,6202.214356,6208.674805,6204.859863,6188.200195,6202.874512,6198.287109,6203.462402
3228,6202.214356,6214.008789,6204.859863,6210.511719,6213.96875,6232.097656,6216.790039
