,DEPTH,DTCO,Vp,Vs,RHOB,Ip,PHIT,well,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups_MA,PHIT_MA,Rc,Rc_bks,Rc_MA,TWT
0,3035,109.3021,2788.6015,1228.04487,2.0679,5766.549042,0.2816,Lakach-1,2751.951222,1254.865346,2.140420183,5890.331939,2747.437568,1258.66619,2.140420183,5885.955341,0.261065049,0.014044608,6.25E-05,6.25E-05,3127.535178
1,3035.1,109.0753,2794.399832,1247.282822,2.1224,5930.834204,0.2664,Lakach-1,2751.673504,1255.434736,2.140904008,5891.068835,2747.159313,1259.338669,2.140904008,5886.690846,0.26089557,0.013050163,4.78E-05,4.78E-05,3127.606749
2,3035.2,108.8486,2800.219755,1271.221962,2.174,6087.677747,0.2516,Lakach-1,2751.415928,1256.006463,2.141309072,5891.631888,2746.899743,1260.004345,2.141309072,5887.253739,0.260733122,0.00843942,3.27E-05,3.29E-05,3127.678172
3,3035.3,108.6218,2806.066554,1305.444449,2.2064,6191.305244,0.2424,Lakach-1,2751.186248,1256.590281,2.141627989,5892.01747,2746.66721,1260.67743,2.141627989,5887.641125,0.260582278,0.002402912,2.37E-05,2.39E-05,3127.749446
4,3035.4,108.395,2811.93782,1343.925417,2.2124,6221.131233,0.24,Lakach-1,2750.994474,1257.195825,2.141878692,5892.296445,2746.472153,1261.3741,2.141878692,5887.92297,0.260444093,-0.00251402,2.61E-05,2.63E-05,3127.820572
5,3035.5,108.1683,2817.831102,1384.066076,2.1967,6189.929582,0.2391,Lakach-1,2750.858459,1257.837974,2.142096343,5892.603845,2746.33233,1262.11999,2.142096343,5888.232119,0.260311533,-0.003868324,3.99E-05,4.00E-05,3127.891548
6,3035.6,107.9415,2823.751754,1415.620781,2.1752,6142.224816,0.2432,Lakach-1,2750.799819,1258.51911,2.14231294,5893.074047,2746.270174,1262.923126,2.14231294,5888.703757,0.260177567,-0.002014898,6.16E-05,6.24E-05,3127.962376
7,3035.7,107.7147,2829.697339,1437.321602,2.1619,6117.522678,0.2462,Lakach-1,2750.827447,1259.241795,2.142555556,5893.800628,2746.29725,1263.792612,2.142555556,5889.438177,0.260037271,0.000729532,8.27E-05,8.45E-05,3128.033055
8,3035.8,107.488,2835.665377,1451.484557,2.1605,6126.455046,0.2482,Lakach-1,2750.932848,1260.005312,2.142827707,5894.775128,2746.407727,1264.73052,2.142827707,5890.434105,0.259890647,0.003111584,9.93E-05,0.000102607,3128.103585
9,3035.9,107.2612,2841.66129,1453.904363,2.1694,6164.700003,0.2481,Lakach-1,2751.10334,1260.807871,2.143120605,5895.946254,2746.590021,1265.735288,2.143120605,5891.643029,0.259739451,-0.002828891,0.00011405,0.000118809,3128.173967
10,3036,108.6753,2804.685149,1451.464512,2.1856,6129.919862,0.247,Lakach-1,2751.318808,1261.644995,2.143441632,5897.291275,2746.823863,1266.802708,2.143441632,5893.043156,0.259578059,-0.00367951,0.000127342,0.000133598,3128.245276
11,3036.1,110.4748,2759.000243,1445.358068,2.2055,6084.975035,0.2427,Lakach-1,2751.566883,1262.510069,2.143794304,5898.793409,2747.096598,1267.923464,2.143794304,5894.617964,0.259401547,-0.003867725,0.000146696,0.000155108,3128.317766
12,3036.2,112.5442,2708.269284,1436.267063,2.2295,6038.08637,0.2383,Lakach-1,2751.827711,1263.393985,2.144220113,5900.524323,2747.389645,1269.090449,2.144220113,5896.446855,0.25919339,-0.002553274,0.000176332,0.000188317,3128.391614
13,3036.3,114.5309,2661.290534,1427.912217,2.2573,6007.331122,0.2327,Lakach-1,2752.084402,1264.282782,2.144776371,5902.605596,2747.690634,1270.291337,2.144776371,5898.66807,0.258936357,-0.001917246,0.000214876,0.00023231,3128.466765
14,3036.4,116.4225,2618.050635,1420.219584,2.2858,5984.34014,0.2291,Lakach-1,2752.328832,1265.164264,2.145507736,5905.1428,2747.998995,1271.515488,2.145507736,5901.409352,0.258621308,0.002515006,0.000261791,0.00028721,3128.543158
15,3036.5,117.4347,2595.48498,1415.405162,2.3173,6014.517345,0.2243,Lakach-1,2752.555008,1266.032049,2.146454993,5908.23544,2748.319596,1272.76461,2.146454993,5904.800216,0.258239451,-0.004207158,0.000309713,0.000345125,3128.620215
16,3036.6,118.0846,2581.200258,1411.485547,2.3106,5964.121316,0.2248,Lakach-1,2752.76703,1266.888913,2.14761955,5911.89629,2748.66544,1274.050328,2.14761955,5908.877417,0.257793601,-0.005523377,0.000349576,0.000394988,3128.697698
17,3036.7,118.3835,2574.683127,1408.50082,2.291,5898.599045,0.2261,Lakach-1,2752.97503,1267.749537,2.148959212,5916.031053,2749.04681,1275.397435,2.148959212,5913.547138,0.25729571,-0.003940958,0.000373519,0.000426714,3128.775378
18,3036.8,118.0651,2581.626577,1404.694389,2.2669,5852.289288,0.2281,Lakach-1,2753.208359,1268.631548,2.150382911,5920.452206,2749.483081,1276.819287,2.150382911,5918.596078,0.256769691,-0.001441515,0.000380035,0.000438054,3128.852848
19,3036.9,117.5128,2593.759999,1399.834022,2.2498,5835.441246,0.2297,Lakach-1,2753.511192,1269.557199,2.151781294,5924.953876,2750.0055,1278.330972,2.151781294,5923.783685,0.256240506,0.000962983,0.000367253,0.000425523,3128.929956
20,3037,116.6976,2611.878908,1393.67278,2.2385,5846.690935,0.2315,Lakach-1,2753.921562,1270.543901,2.153041491,5929.307386,2750.63583,1279.932483,2.153041491,5928.827244,0.25573699,0.004114861,0.000346075,0.000403209,3129.00653
21,3037.1,115.4516,2640.067353,1385.889211,2.2329,5895.006392,0.2341,Lakach-1,2754.476136,1271.600965,2.154098453,5933.412783,2751.410833,1281.623006,2.154098453,5933.610283,0.255285162,0.005769756,0.000325978,0.000381536,3129.082285
22,3037.2,114.2701,2667.364429,1377.132285,2.2357,5963.426653,0.2365,Lakach-1,2755.164831,1272.722274,2.154964487,5937.282365,2752.324531,1283.39407,2.154964487,5938.139787,0.254902954,0.006076608,0.000313208,0.000368495,3129.157266
23,3037.3,113.223,2692.032538,1367.086496,2.2423,6036.344559,0.2387,Lakach-1,2755.966706,1273.897778,2.155687412,5941.002736,2753.363466,1285.24081,2.155687412,5942.517755,0.254590014,0.004061147,0.000304251,0.000358182,3129.231559
24,3037.4,112.8981,2699.779713,1353.669163,2.2541,6085.573451,0.2401,Lakach-1,2756.825827,1275.116718,2.156327356,5944.618947,2754.463064,1287.160709,2.156327356,5946.77629,0.254334388,0.002802347,0.000298212,0.000350461,3129.305639
25,3037.5,112.8847,2700.100191,1338.042823,2.2665,6119.777082,0.2415,Lakach-1,2757.708797,1276.37178,2.156922996,5948.16552,2755.584364,1289.151254,2.156922996,5950.945977,0.254120605,-0.000365794,0.000287992,0.000335851,3129.37971
26,3037.6,113.2564,2691.238641,1319.131035,2.2723,6115.301564,0.2433,Lakach-1,2758.577233,1277.658387,2.157486287,5951.592551,2756.673997,1291.205657,2.157486287,5954.944582,0.253940928,-0.004389286,0.000276608,0.000319987,3129.454026
27,3037.7,114.2349,2668.186342,1298.120536,2.2719,6061.852551,0.2457,Lakach-1,2759.431864,1278.974793,2.158011603,5954.885981,2757.732641,1293.316847,2.158011603,5958.756811,0.253787623,-0.005946904,0.000267243,0.00030686,3129.528983
28,3037.8,115.3473,2642.45457,1276.505391,2.2669,5990.180264,0.2452,Lakach-1,2760.268943,1280.308916,2.158510549,5958.06963,2758.758424,1295.454277,2.158510549,5962.414946,0.253653657,-0.00651424,0.000264503,0.000302401,3129.60467
29,3037.9,116.4991,2616.329225,1253.9804,2.2599,5912.642415,0.2436,Lakach-1,2761.089048,1281.64868,2.159011252,5961.222322,2759.758698,1297.594858,2.159011252,5966.022114,0.253524965,-0.005797229,0.000265185,0.000302355,3129.681113
30,3038,117.404,2596.163674,1231.012302,2.2512,5844.483663,0.2416,Lakach-1,2761.892623,1282.985336,2.159528129,5964.38481,2760.73727,1299.719118,2.159528129,5969.630919,0.253398031,-0.006198566,0.000265165,0.00030151,3129.75815
31,3038.1,118.161,2579.531317,1209.010939,2.2378,5772.475182,0.2419,Lakach-1,2762.682541,1284.308228,2.160055907,5967.548742,2761.697201,1301.793452,2.160055907,5973.231807,0.253273207,-0.005578347,0.000259199,0.000292893,3129.835683
32,3038.2,118.6911,2568.010575,1189.269419,2.2229,5708.430708,0.2419,Lakach-1,2763.449322,1285.615685,2.160576301,5970.643115,2762.621835,1303.80657,2.160576301,5976.731874,0.253154008,-0.001998139,0.000246344,0.000275526,3129.913565
33,3038.3,118.7107,2567.586578,1175.388567,2.2144,5685.663719,0.24,Lakach-1,2764.181386,1286.906235,2.161068565,5973.585503,2763.492194,1305.748414,2.161068565,5980.02627,0.253043249,0.002485547,0.000233222,0.000257806,3129.991459
34,3038.4,118.4581,2573.061699,1165.992498,2.2207,5713.998114,0.2359,Lakach-1,2764.861467,1288.172034,2.161545007,5976.372498,2764.288946,1307.606803,2.161545007,5983.110439,0.25293706,0.007802786,0.000211361,0.000227858,3130.069187
35,3038.5,117.8632,2586.048911,1165.572922,2.2443,5803.869571,0.2289,Lakach-1,2765.372815,1289.403967,2.162059072,5978.899381,2764.873247,1309.38197,2.162059072,5985.837662,0.252829466,0.011963954,0.000181389,0.000188968,3130.146525
